Man,Response_Man_No,Response_Man,Coding_Man,Woman,Response_Woman_No,Response_Woman,Coding_Woman,Moral,Stereotypical,Vague Value,Identity,Other,Nonsense,Gender,Age,Group
4,,"When they're a woman, Or when they are acting in a way that is somehow being perceived as feminine, or not masculine. Or perhaps when it is a woman disguised or clothed as a man?",identity+vague value,,,,,,,1,1,,,2,41,1
5,,"if the ""man"" were dishonest, a woman, transgender, cross dressing.",moral+identity,,,,,,1,,1,,,1,28,1
,,,,5,,If they demean their own gender or believe in their own negative stereotypes,not supportive of feminism,,,,,1,,2,24,2
,,,,7,,"Man who is disguised as a woman, or a person who acts like a woman but doesn't have female reproductive system.",identity,,,,1,,,2,38,2
7,,"If he is cowardly or a woman. Also, if he doesn't pertain to the typical manly standards of society.",cowardly+vague value,,,,,1,,1,1,,,2,25,1
,,,,3,"There is nothing grammatically wrong with the sentence as it is written, but it would be pronounced differently when spoken. ... It sounds good. It's how I talk. Except you've got a comma fault. Some (many) these days say that you can separate two independent clauses in a ... Even that doesn't sound right.",,,,,,,,,2,30,2
,,,,7,,"Technically, when a biological man believes that he is a woman (gender dysphoria). Otherwise, not really.",identity,,,,1,,,2,27,2
5,,"If they do immoral things. Then you could say they are not a true man, meaning that they don't exemplify the things that make a man a man.",moral,,,,,1,,,,,,2,23,1
4,,If it is a woman that is transgender and she is living her life as a man but she is really a woman. ,identity,,,,,,,,1,,,1,28,1
5,,"In our culture, you are not a true man when you sexually harass a woman.",moral,,,,,1,,,,,,2,46,1
,,,,6,,I don't think I have any where I wouldn't consider someone to not be a true woman.,other,,,,,1,,1,27,2
1,"I think that it is not a developed ability to be a man, rather a state of just being.  ",,,,,,,,,,,,,1,66,1
7,,When he is dishonest or disloyal to the people he loves.,moral,,,,,1,,,,,,2,25,1
,,,,3,"It just seems like an odd statement to make, not something you would often hear people say. It is not clear what is meant by the sentence- is it referring to her actual gender/physical parts, or her personaility, or actions?",,,,,,,,,1,32,2
,,,,6,,"When they are a man playing one on TV, but have no intentions of ever being a woman.",identity,,,,1,,,2,34,2
,,,,2,It sound forced to me. Like a robot attempting english,,,,,,,,,1,35,2
,,,,7,,"I would say if they are aggressive, non-feminine and belligerent, then they are not a true woman.",vague value,,1,,,,,1,41,2
7,,when you want to imply a negative incantation. When someone doesnt fit the stereotype of what a man is percieved as. Stereotypes come from some where...,vague value,,,,,,,1,,,,2,39,1
,,,,5,,If a woman wouldn't stand up for herself and notice her own worth.,cowardly,1,,,,,,2,26,2
,,,,6,,In the case that the woman was not born female. I don't believe transgenders count.,identity,,,,1,,,2,39,2
6,,"If a man lies, goes back on his word or is underhanded and deceitful.",moral,,,,,,,,,,,2,40,1
,,,,7,,When a woman has more manly traits and likes to do manly things instead of feminine things.,vague value,,,1,,,,1,58,2
5,,Men are lying about women. Most of man is involving thief and gambling.,moral,,,,,1,,,,,,2,28,1
4,,"Being spirit in human form, none of us are really either true men or true women.",other,,,,,,,,,1,,2,33,1
7,,"Under no circumstances, what defines a man is for the individual in themselves to decide.",other,,,,,,,,,1,,2,24,1
7,,DOG IS NOT TRUE MAN BECAUSE OF THATS AN ANIMAL AND ALSO A PET ANIMAL,identity,,,,,,,,1,,,2,27,1
2,"Because a man is a man, there is nothing like a true man or a false man. It sounds weird.",,,,,,,,,,,,,1,41,1
7,,"By his behavior. A true man always will be affectionate, kind, good father, faithful.",moral,,,,,1,,,,,,1,43,1
,,,,1,"If she is a woman, there's no need of say true. A woman it's an objetive thing, or it is a woma or it's not.",,,,,,,,,2,28,2
6,,If a man does not care about his country and their people at the most important time and if his motive is about money means he is not the true man.,moral,,,,,1,,,,,,2,24,1
,,,,6,,"One that is vulgar, has a bad attitude is a bad human-being.",disrespectful,,,,,,,2,36,2
6,,When they dress up as a woman in my opinion. what do you think?,identity,,,,,,,,1,,,2,28,1
7,,"Most clearly for a coward, but could be for a human-like robot (like Terminator)",cowardly+identity,,,,,1,,,1,,,2,52,1
5,,"When having a set of qualities and characteristics in mind in a given situation, I would observe the behaviors of an individual (gender does not matter) and if those behaviors did not match the characteristics required, I would use this statement.  For example, consider the job ""lumberjack"".  I would give it qualities like extreme strength, quick footed, dirty, dangerous.  If the individual cutting the lumber was without muscles, klutzy, kept wiping the dirt off and running away when a tree fell, I would say this person is not a true man.",other,,,,,,1,,,,,1,43,1
4,,A man that shirks responsibility and behaves without honor. ,irresponsible,,,,,1,,,,,,2,45,1
5,,To put someone down or to put down a friend in a friendly and amusing way.,other,,,,,,,,,1,,2,48,1
5,,If they were actually a woman then that person would not be a true man.,identity,,,,,,,,1,,,1,30,1
5,,"I view it as a personality statement. So I would not say someone is a true man if they are dishonest, hurt those they love, don't take care of themselves and their family.",moral+irresponsible,,,,,1,,,,,,1,29,1
4,,When the man dresses and pretends to be a woman. Or when a woman is pretending to be a man. ,identity,,,,,,,,1,,,1,45,1
,,,,7,,"A true woman doesn't do certain things in front of people such as burp, fart or make inappropriate comments.  A true woman holds her composure and  is a role model for younger girls.",vague value,,1,,,,,1,28,2
1,It does not sound natural to me because not all males identify with being a man.,,,,,,,,,,,,,2,46,1
,,,,6,,I would say a woman is always a true woman. There aren't any circumstances where a woman is not a true woman. Stereotypes don't define a true woman. Women are always true women regardless of how they behave or act.,other,,,,,1,,1,39,2
,,,,4,,"If they are a man, though transgender in my opinion count as women too",identity,,,,1,,,1,25,2
,,,,5,,I think i would never say that to any woman. Sounds rude,other,,,,,1,,1,35,2
,,,,7,,If they are a man or they do not possess very many woman qualities.,vague value,,,1,1,,,1,23,2
6,," A good man will always make you feel beautiful. He will understand that making you feel beautiful does not just mean saying the words to you. It will mean truly making you feel beautiful. In the way he looks at you, touches you and treats you. He will notice details when you put effort into your appearance ...",moral,,,,,1,,,,,,2,30,1
7,,"If you are a transgender, bisexual, homosexual or transvestite, I would not consider you a man",identity,,,,,,,,1,,,2,25,1
6,,If they acted in an effeminate manor. I wouldn't say that but I'm guessing that's what people might say. Or if someone cried a lot or made a big deal out of being hurt.,vague value,,,,,,1,,,,,2,39,1
,,,,4,,I don't think I would ever use that phrase.  It would be implyng that there was something unwomanly about other women.,other,,,,,1,,2,43,2
,,,,7,,"If a woman mistreates her children, she would be considered not a true woman.  ",abuse,1,,,,,,2,40,2
6,,"If, perhaps, he wanted to be a woman, or almost always exhibited exclusively feminine characteristics.",identity,,,,,,,1,1,,,2,23,1
,,,,6,,i think the doorman is not a true woman. the conjcection is decide to the some one not a true women.,,,,,,,1,2,26,2
,,,,7,,"I love that after I spend the day with you, I can still smell your perfume on my clothes. And I love that you are the last person I want to talk to before I go to sleep at night. And it's not because I'm lonely, and it's not because it's New Year's Eve. I came here tonight because when you realize you want to spend the rest of your life ",,,,,,,1,2,25,2
,,,,7,,"Thinking outside the box here, but if its a man who transitioned to become a woman.",identity,,,,1,,,2,34,2
7,,"When a man treats women bad. For example, if a man is violent, or offensive.",abuse+disrespectful,,,,,1,,,,,,2,32,1
,,,,6,,If they were rude to others or if they used foul language.,disrespectful,1,,,,,,1,46,2
,,,,6,,"Under what circumstances would you say that someone is not a true woman?
none
",,,,,,,1,1,33,2
6,,"I would say someone is not a true man if they have a terrible personality. I ""real"" man would behave a certain way. he wouldn't use his strength and power to control people, he would be quiet and kind in dealing with his woman. I equate ""true man"" with ""real man"" and that is all about personality to me. Someone who is not a true man would abuse his power and strength. He would manipulate and control situations. He would lie and treat people disrespectfully. ",moral+abuse,,,,,1,,,,,,1,43,1
6,,"If a woman was dressed up as a man, not including those that are transgender and believe they are actually a man. I am strictly referring to dressing up for fun.",identity,,,,,,,,1,,,1,29,1
,,,,1,There really is no definition of a true women....they are all true.  It just sounds redundant.,,,,,,,,,1,55,2
7,,If a man doesn't stand up for what he believes in.,cowardly,,,,,1,,,,,,2,28,1
,,,,7,,when woman is not classy. When woman swears. If dirty and wears dirty clothes.,vague value,,,,,,,1,65,2
3,because it sounds ambiguous. the meaning of the sentence is confusing. ,,,,,,,,,,,,,1,26,1
,,,,5,,"When someone not comply to classical social standards, stereotypes",vague value,,,1,,,,2,44,2
7,,"If they are transgender, or very feminine.  Some may say that a true man treats women with respect and treat humanity with kindness.  They step up when needed.  A man who doesn't is not a true man.",identity+moral+cowardly,,,,,1,,1,1,,,1,37,1
6,,"I'm not sure, I guess if the man was abusive or in some way criminal?",moral+abuse,,,,,,,,,,,1,43,1
,,,,2,Because I have never heard it said before. Why does my response need to be longer than that? Is it not fair to say that never having heard a phrase come from a natural human before does not hold up as a reasonable response to why it doesn't sound natural to me?,,,,,,,,,2,27,2
,,,,6,,"If she's a man. Or maybe if she projects as a ""woman"" but inside does not feel like a woman.",identity,,,,1,,,1,60,2
5,,If he lies a lot and generally acts like a turd on legs.,moral,,,,,1,,,,,,2,29,1
4,,if they are not biologically a man then they are not a man,identity,,,,,,,,1,,,2,54,1
,,,,5,,"lying, cheating, unfaithful, mean, rude, unkind, generally a bad person.",moral,1,,,,,,2,29,2
2,It does not sound like something someone who say in conversation. What does that sentence mean?,,,,,,,,,,,,,2,43,1
2,"I don't even know what a ""true man"" is, sounds very strange.",,,,,,,,,,,,,1,55,1
,,,,1,"What constitutes a ""true"" woman? Weird way to phrase something, seems sexist and misoginistic",,,,,,,,,2,23,2
,,,,5,,"I'm not exactly sure, other than anatomically challenged humans, all women are true women. ",identity,,,,1,,,2,41,2
,,,,6,,"When they do not fit the image of a woman, whatever that image is.
For example, physical nature, attitude, behavior or words.
A person with three X chromosomes would probably not be a ""true"" woman because of genetic abnormality.
If there is a stereotype of women and a woman does not fit it, then people might say that she is not a true woman.",identity+vague value,,,1,,,,2,47,2
,,,,6,,If she does not have the genatalia of a woman. She often is doing things that are more like a man than a woman.,identity+vague value,,,1,1,,,2,29,2
,,,,7,,While someone cheat by wearing woman dress instead of man dress. By changing their voice and talking as like woman.,identity,,,,1,,,1,38,2
6,,when they are childish or when they act like to womanly.,vague value,,,,,,,1,,,,1,36,1
,,,,6,,If she is not true for her partner. If she cheat some person and prostitute. ,moral,1,,,,,,2,28,2
,,,,5,,When a woman isn't honest. When a woman doesn't have integrity. When a woman doesn't own up to her word. When a woman has convictions and stands by them. ,moral,1,,,,,,1,30,2
6,,If someone does something feminine. Typically used when joking with someone or using sarcasm,vague value,,,,,,,1,,,,2,50,1
6,,"If that person did not fulfill his duties and responsibilities at work, with his family, in his community.  If they didn't embody the characteristics of an ideal man, somebody worthy of respect.  ",vague value+irresponsible,,,,,1,,,,,,1,39,1
,,,,7,,"A woman is not behaving in a way that is characteristic of a cultured person. 
A person identifies as a woman, but does lacks the XX chromosomes that are the genetic qualifiers of being female.",identity+vague value,,,1,,,,2,35,2
,,,,4,,"Someone who isn't a true woman is probably doing things that are typically done by men, such as being able to reproduce.",vague value,,,1,,,,2,29,2
,,,,6,,It would be very good and nice to see the doorman.It should be very different attitude of it,,,,,,,1,2,26,2
3,"It just sounds off. I guess it could make sense to some, as meaning he is manly.",,,,,,,,,,,,,1,53,1
,,,,2,IT DOESN'T SOUND GOOD OR LIKE IT GOES TOGETHER. I THINK IT COULD HAVE BETTER WORDING FOR IT TO SOUND MUCH BETTER AND FLOW MORE. THE WORDING IS OFF AND COULD HAVE USED BIGGER AND BETTER WORDS TO MAKE THE SENTENCE SOUND MUCH BETTER. ,,,,,,,,,1,39,2
6,,One that only puts themselves first among all other people. ,moral,,,,,1,,,,,,1,33,1
6,,"Probably if he is doing something negative, violent, abusive, or otherwise despicable.",abuse,,,,,1,,,,,,1,37,1
1,"Because it suggests that there may be such a thing as a ""non"" true man, which makes no sense at all.  A chair is a ""non"" man. Man does not require qualification.",,,,,,,,,,,,,2,71,1
5,,Some times they may be lie to some kind of attributes it would be very good of it,moral,,,,,1,,,,,,2,26,1
,,,,7,,"Maybe because they don't act as good humans in general, they dont have good morals towards other people or society.",moral,1,,,,,,2,30,2
,,,,6,,"When it comes to communication between men and women thereäó»s a lot of misunderstandings. Even if the right words are being used, the vocal cues arenäó»t. For example, forcing your child to apologize. Sure. Theyäó»ll angrily exclaim äóìIäó»m sorry,äó but itäó»s definitely not sincere.",,,,,,,1,2,26,2
,,,,1,It is unnecessry. She automatically indicates woman. ,,,,,,,,,1,36,2
,,,,5,,Someone who is unsuccessful in all aspects of life (e.g. is incarcerated after stealing from a minimum-wage employer and is thrice divorced). ,moral,1,,,,,,2,26,2
6,,"Well, if weäó»re talking about real life and not semantics, Iäó»d say a true man is that person who bullies, harasses or mistreats others just because he can.",abuse,,,,,1,,,,,,2,33,1
,,,,5,,"When she dresses like a man or acts like a man.  If she has really short hair, walks like a man, talks like a man, & dates women, then she will seem less like a true woman.  That's just my own perception, but I'm not a bigot. ",identity+vague value,,,1,1,,,2,25,2
6,,I really donäó»t know what those circumstances would be. It would be a subjective judgment that someone makes,other,,,,,,,,,1,,1,34,1
2,"It makes it sound like being a man is on some kind of scale or spectrum. I don't think any one can be a ""fake"" man per say, so that is why it sounds a little bit weird.",,,,,,,,,,,,,1,23,1
,,,,5,,If they do not act in a traditionally woman-like way. Or if they are not bilogically a woman. I would rarely use that phrase however,identity+vague value,,,1,1,,,2,26,2
,,,,5,,"I personally wouldn't say something like that, but I could imagine someone might say that of a tomboy, a woman working in a traditionally male-dominated field, or a woman who likes sports.",vague value,,1,,,,,1,40,2
,,,,4,,nothing                                                                                                                                                  ,other,,,,,1,,1,35,2
,,,,4,,I'm guessing if the woman is sort of a tomboy. A woman who does not dress feminine. ,vague value,,1,,,,,2,29,2
,,,,2,context not sensible and does not sound like something someone would say,,,,,,,,,2,66,2
5,,"Those who believe in stereotypes of men as being ""tough"" or ""strong"" might say someone is not a true man if he exhibits weakness of any sort.",vague value,,,,,,1,,,,,1,54,1
4,,"If someone was to be utterly squeamish, timid, and/or reticent I would probably attribute this label.",vague value,,,,,,1,,,,,2,58,1
5,,"I took the first sentence to mean that he is a äóìmanly manäó as opposed to his biological sex. So in my interpretation, someone who is not a true man might be more feminine and not as macho",vague value,,,,,,,1,,,,1,27,1
6,,"If they do not stick to their word and they do not protect their family and make sacrifices for them.  If they are selfish and only care about themselves, and they are weak and unable to take control in situations.",moral+irresponsible+cowardly,,,,,1,,,,,,2,22,1
,,,,6,,A woman who doesn't like girly things like clothes or accessories ,vague value,,1,,,,,1,40,2
,,,,4,,"When she is disorganized, messy and careless, especially of her female friends",vague value,,1,,,,,2,24,2
,,,,2,"I'm not sure, likely because I've never heard it said.",,,,,,,,,2,35,2
,,,,7,,When a woman doesn't act the way people expect her to act as a woman.  (As a stereotypical woman.),vague value,,,1,,,,1,50,2
6,,"He is not trust worthy person, he is a fraud. Basically not a time lazy guy.",moral,,,,,1,,,,,,2,33,1
,,,,5,,When someone either not born a female or does not identify as a female. ,identity,,,,1,,,1,34,2
,,,,6,,When the individual' somatic cells contain one X chromosome and one Y chromosome (such as to avoid restricting XXY individuals or those with similar chromosomal abnormalities).,identity,,,,1,,,2,26,2
,,,,7,,When she is acting in a manner which seems contrary to the stereotypical view of a woman/female.  When she is acting more manly and doing more courageous things.  When her job is not typically a 'female' job.,vague value,,1,,,,,1,34,2
7,,"not a nice person cause thats what I heard from somebody that if youre not a human it means youre not a nice person
",moral,,,,,1,,,,,,2,23,1
5,,"If someone is not masculine or manly, then I would not describe them as a true man.",vague value,,,,,,,1,,,,1,40,1
5,,Under the circumstances a man might not be a true man if he does not support his wife or girlfriend in life.  He might not be a true man if he doesn't live up to his obgligations to family.,irresponsible,,,,,1,,,,,,1,65,1
